Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
67.0,limón,guácimo,huetar caribe,rural,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,frontal,9,5
2.0,san josé,curridabat,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
121.0,puntarenas,puntarenas,pacífico central,rural,plano,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,lateral,10,7
4.0,san josé,desamparados,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
7.0,san josé,san josé,central,urbana,plano,recta,00:00-05:59,1,invierno,pavimentada,buena,bueno,lateral,10,10
273.0,puntarenas,osa,brunca,rural,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,alcance,7,2
1.0,san josé,san josé,central,urbana,plano,curva,06:00-11:59,0,invierno,pavimentada,buena,bueno,interseccion,9,10
1.0,san josé,san josé,central,urbana,plano,curva,18:00-23:59,0,invierno,pavimentada,buena,lluvia,lateral,10,10
0.0,san josé,san josé,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
1.0,san josé,escazú,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,interseccion,9,10
163.0,puntarenas,osa,brunca,rural,plano,curva,00:00-05:59,0,verano,pavimentada,buena,bueno,frontal,9,2
21.0,cartago,cartago,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,riesgo,bueno,lateral,10,10
3.0,alajuela,valverde vega,central,rural,plano,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,5
4.0,heredia,san pablo,central,urbana,plano,curva,18:00-23:59,1,verano,pavimentada,buena,bueno,frontal,9,9
97.0,limón,siquirres,huetar caribe,urbana,plano,recta,18:00-23:59,1,verano,pavimentada,buena,bueno,lateral,10,7
0.0,san josé,san josé,central,urbana,plano,recta,00:00-05:59,1,verano,pavimentada,buena,bueno,interseccion,9,10
